挪威	16	8	13	37
德国	12	10	5	27
中国	9	4	2	15
美国	8	10	7	25
瑞典	8	5	5	18
荷兰	8	5	4	17
奥地利	7	7	4	18
瑞士	7	2	5	14
ROC	6	12	14	32
法国	5	7	2	14
加拿大	4	8	14	26
日本	3	6	9	18
意大利	2	7	8	17
韩国	2	5	2	9
斯洛文	2	3	2	7
芬兰	2	2	4	8
新西兰	2	1	0	3
澳大利亚	1	2	1	4
英国	1	1	0	2
匈牙利	1	0	2	3
比利时	1	0	1	2
捷克	1	0	1	2
斯洛伐克	1	0	1	2
白俄罗斯	0	1	0	2
西班牙	0	1	0	1
乌克兰	0	1	0	1
拉脱维亚	0	0	1	1
波兰	0	0	1	1
